First Name,Last Name,Email,Quantity
Bluey,Barker,bluey@rehearsal.test,8
Banjo,Paterson,banjo@rehearsal.test,5
Scout,Miller,scout@rehearsal.test,5
Maple,Chen,maple@rehearsal.test,3
Rusty,Okafor,rusty@rehearsal.test,2
Pippa,Nowak,pippa@rehearsal.test,1
Dale,Whitmore,dale.whitmore@rehearsal.test,6
Freya,Lindqvist,freya.lindqvist@rehearsal.test,6
Marcus,Ellery,marcus.ellery@rehearsal.test,6
Nadia,Popescu,nadia.popescu@rehearsal.test,6
Theo,Brennan,theo.brennan@rehearsal.test,6
Wren,Alcott,wren.alcott@rehearsal.test,6
Clara,Nunes,clara.nunes@rehearsal.test,5
Isaac,Farrow,isaac.farrow@rehearsal.test,5
Jonah,Petrov,jonah.petrov@rehearsal.test,5
Lena,Castellano,lena.castellano@rehearsal.test,5
Omar,Haddad,omar.haddad@rehearsal.test,5
Priya,Raman,priya.raman@rehearsal.test,5
Sasha,Volkov,sasha.volkov@rehearsal.test,5
Tomas,Iversen,tomas.iversen@rehearsal.test,5
